coin,age_days,days_to_low,low_pct_vs_entry,now_pct_vs_entry,at_low_now
CATE,9,0,-64.7,165.6,no
GRVT,5,0,-45.6,-39.2,no
UAI,271,0,-58.0,64.8,no
KITE,274,0,-38.8,-5.0,no
COAI,314,0,-74.7,-35.8,no
BTW,155,0,-3.8,1581.7,no
ANSEM,38,0,40.2,214.8,no
BEAT,276,0,-30.2,2310.7,no
PIEVERSE,263,0,-38.7,295.6,no
ASTEROID,109,0,-52.0,32.1,no
RIVER,316,0,-45.9,-13.1,no
YOM,60,0,-14.8,8.4,no
GPUBSC,2,1,-81.6,-75.2,yes
PONS,21,1,-73.5,88.9,no
PIPEDOG,7,1,-50.7,-41.4,no
UP,144,1,-31.8,336.2,no
ZEST,77,1,32.7,214.8,no
ESP,173,2,-34.1,-21.3,no
STONKBROKER,16,2,-50.1,240.4,no
KGEN,301,2,-82.1,-69.0,no
GIGGLE,317,2,-74.6,18.4,no
ASTEROIDBSC,4,2,-23.0,15.8,no
BP,134,3,-54.3,12.6,no
GMEROBINHOOD,13,3,-83.4,-74.0,no
MARSCOIN,5,4,-21.6,78.2,yes
PYBOBO,256,4,150.3,421.5,no
NES,41,5,-51.9,-39.5,no
SENTIS,272,5,-47.6,-29.7,no
TENDIES,20,6,-37.9,38.2,no
PRL,132,6,-5.8,110.0,no
INDEX,21,7,-21.5,21.6,no
TRUTH,307,8,-51.3,-18.3,no
WOOD,13,8,-87.8,-82.6,no
O,48,9,2.9,38.1,no
AIINU,13,9,-87.3,-82.0,no
ZAMA,183,9,-60.7,16.0,no
FF,309,10,-91.8,-89.4,no
HOODRAT,25,11,-96.1,-92.1,no
BASED,127,11,-61.0,-39.7,no
JUGGERNAUT,25,11,-94.4,-89.5,no
KET,13,12,-36.7,-35.1,yes
STABLE,239,14,-67.7,11.3,no
BRIAN,19,14,-98.4,-98.1,no
CAP,39,15,-35.9,10.5,no
DRV,21,15,-25.1,-17.4,no
SPACE,193,16,-82.1,-74.3,no
VEXAI,25,18,-84.0,-79.8,no
CASHCAT,27,19,-71.9,-45.1,no
BSB,153,19,-28.8,19.1,no
SN3,146,20,-97.8,-97.6,no
USDUC,90,20,-73.4,-69.2,no
SKY,323,24,-53.0,-25.9,no
BR,85,25,-36.6,-2.5,no
CC,268,25,-66.2,-37.1,no
GROVE,28,25,-74.1,-70.6,no
ARX,43,27,-66.6,-65.8,no
HOLO,327,28,-91.7,-87.4,no
CZ,31,29,-93.4,-93.2,no
RE,47,31,-25.8,-18.0,no
SHARE,88,36,-61.8,-45.9,no
PIGGY,280,37,-96.9,-91.7,no
BTX,236,38,-80.0,-14.2,no
BNKR,173,41,-60.4,-59.4,no
LAB,294,48,-41.7,15.7,no
BULL,114,49,-76.7,-76.6,no
CYS,236,49,-52.1,105.4,no
SAPIEN,349,50,-82.5,-60.5,no
AT,284,53,-90.7,-83.9,no
BLUAI,287,57,-83.9,-51.0,no
BLEND,102,60,-64.1,-55.1,no
CTR,70,61,-79.8,-78.8,no
OWL,201,62,-94.2,-93.7,no
ASR,128,67,-42.8,-37.4,no
FIGHT,194,67,-90.9,-86.9,no
SLX,71,69,-64.7,-63.0,no
BILL,93,74,-30.8,-25.6,no
NEX,76,75,-65.5,-65.1,yes
STAR,82,78,-72.1,-67.3,no
US,236,86,-88.0,140.5,no
ALLO,266,86,-94.8,-70.7,no
JCT,267,87,-85.2,-41.8,no
SKYAI,97,87,-92.7,-82.6,no
LIT,216,89,-71.9,-24.5,no
FUN,201,89,-74.0,-72.2,no
MEGA,96,94,-80.8,-80.0,no
EDGE,126,95,-64.4,-46.3,no
OFC,117,96,-90.7,-88.4,no
GENIUS,113,97,-39.2,-30.9,no
CHIP,105,100,-54.8,-52.0,no
ROLL,200,101,-70.8,-64.2,no
OPG,105,103,-53.5,-53.2,no
APR,285,105,-72.4,-18.1,no
MAGMA,231,106,-62.7,38.9,no
THQ,231,107,-85.6,-83.5,no
ST,111,107,-87.7,-86.7,no
ON,284,108,-80.4,-23.7,no
ZBT,291,111,-94.3,-89.1,no
CLO,294,114,-68.4,-26.3,no
HANA,312,114,-96.5,-84.4,no
MEZO,125,123,-95.2,-95.1,no
SIREN,135,127,-99.1,-99.0,no
INX,186,130,-72.2,-65.5,no
KAT,139,132,-73.1,-71.2,no
ACU,196,136,-52.6,-44.0,no
AZTEC,174,137,-35.3,-27.4,no
ASTER,320,139,-36.3,-3.8,no
OPN,152,146,-91.0,-89.8,no
MANTRA,153,148,-78.2,-76.7,no
FOLKS,271,150,-73.5,-36.4,no
ROBO,158,151,-70.9,-65.3,no
ELSA,196,154,-64.3,-48.6,no
XAN,309,159,-97.9,-95.3,no
TRIA,182,166,-57.0,-52.0,no
ELIZAOS,271,176,-93.8,-89.3,no
WET,238,178,-64.2,-54.8,no
EDEN,308,180,-98.3,-97.5,no
POWER,242,182,-55.8,-34.0,no
BIRB,188,186,-78.8,-77.5,no
SENT,194,187,-49.9,-39.2,no
GWEI,195,190,-41.8,-31.6,no
SKR,196,194,-39.2,-29.7,no
FOGO,201,194,-84.1,-83.4,no
BREV,210,203,-85.6,-84.2,no
Q,337,206,-45.9,156.9,no
GAIB,258,206,-94.7,-93.0,no
UB,326,208,1.9,660.2,no
MMT,273,213,-72.2,-55.9,no
TAKE,344,215,-71.9,-5.5,no
TRUST,272,216,-92.8,-91.7,no
ZKP,228,221,-60.6,-57.9,no
NIGHT,238,222,-63.6,-53.9,no
MET,285,225,-86.7,-76.8,no
ENSO,294,234,-84.0,-72.8,no
IRYS,252,236,-20.2,-5.3,no
RLS,246,240,-95.9,-95.8,no
LYN,303,240,-95.6,-94.3,no
WLFI,337,242,-83.2,-82.0,no
EVAA,305,244,-94.1,-81.9,no
TURTLE,286,244,-89.3,-86.4,no
GUA,250,249,-59.5,-59.2,yes
LIGHT,311,251,-88.2,-82.3,no
RECALL,293,253,-93.2,-91.0,no
BLESS,315,254,-91.7,-77.5,no
XPL,313,257,-92.6,-90.4,no
NOM,308,272,-97.3,-97.0,no
TRADOOR,334,274,-34.5,8.4,no
YB,293,287,-93.3,-92.8,no
MITO,341,288,-88.9,-85.9,no
MIRA,312,304,-97.5,-97.4,no
STBL,322,304,-84.3,-81.0,no
2Z,306,304,-92.6,-92.4,no
0G,316,314,-96.3,-96.2,no
ZKC,323,318,-97.5,-97.4,no
