coin,listed,age_days,first_bar_high,peak_since,price_now,peak_vs_entry_pct,now_vs_entry_pct,never_exceeded
NEX,2026-05-20,75,4.126e-06,6.899e-06,1.487e-06,67.2,-64.0,no
CATE,2026-07-27,7,0.007832,0.056132,0.0497,616.7,534.6,no
BTR,2025-08-27,341,0.1275,0.23686,0.02012,85.8,-84.2,no
SIREN,2026-03-23,133,2.6488,3.15439,0.02622,19.1,-99.0,no
GRVT,2026-07-30,4,0.4257,0.3979,0.2574,-6.5,-39.5,yes
TRIA,2026-02-03,181,0.01717,0.05163,0.00829,200.7,-51.7,no
CASHCAT,2026-07-08,26,0.116,0.2325,0.04569,100.4,-60.6,no
Q,2025-09-02,335,0.008588,0.053528,0.021604,523.3,151.6,no
TRUTH,2025-10-01,306,0.015712,0.0521,0.012825,231.6,-18.4,no
HOODRAT,2026-07-11,23,0.01039,0.03567,0.001135,243.3,-89.1,no
O,2026-06-17,47,0.3687,0.9615,0.4788,160.8,29.9,no
CAP,2026-06-26,38,0.02407,0.04622,0.02731,92.0,13.5,no
MAGMA,2025-12-16,230,0.1863,0.8276,0.2534,344.2,36.0,no
ARIA,2025-08-21,347,0.06845,1.0232,0.02741,1394.8,-60.0,no
UAI,2025-11-06,270,0.148,0.6369,0.3708,330.3,150.5,no
WLFI,2025-09-01,336,0.3049,0.3227,0.05455,5.8,-82.1,no
STABLE,2025-12-08,238,0.02835,0.04345,0.03147,53.3,11.0,no
ELIZAOS,2025-11-07,269,0.00908,0.01423,0.000976,56.7,-89.3,no
SN3,2026-03-11,145,0.0301,0.0387,0.00072,28.6,-97.6,no
MITO,2025-08-28,340,0.1539,0.4439,0.0214,188.4,-86.1,no
US,2025-12-11,235,0.0223,0.061421,0.054733,175.4,145.4,no
SAPIEN,2025-08-20,348,0.1985,0.55782,0.0783,181.0,-60.6,no
SENT,2026-01-22,193,0.02255,0.04738,0.01362,110.1,-39.6,no
SLX,2026-05-25,70,0.2105,0.6806,0.0754,223.3,-64.2,no
WET,2025-12-09,237,0.145,0.3395,0.0656,134.1,-54.8,no
INX,2026-01-30,185,0.02271,0.02981,0.00775,31.3,-65.9,no
AT,2025-10-24,283,0.8435,0.85,0.1346,0.8,-84.0,no
YB,2025-10-15,292,0.9226,0.8665,0.0651,-6.1,-92.9,yes
CLO,2025-10-14,293,0.1682,0.9167,0.1311,445.0,-22.1,no
SKY,2025-09-15,322,0.07476,0.08996,0.05549,20.3,-25.8,no
ACU,2026-01-20,195,0.1364,0.3885,0.07867,184.8,-42.3,no
ESP,2026-02-12,172,0.07774,0.192,0.06714,147.0,-13.6,no
NIGHT,2025-12-09,237,0.04146,0.11926,0.01902,187.7,-54.1,no
MARSCOIN,2026-07-30,4,0.03254,0.04959,0.03315,52.4,1.9,no
BP,2026-03-23,133,0.2643,0.7214,0.2932,172.9,10.9,no
BULL,2026-04-13,112,0.009999,0.011043,0.002341,10.4,-76.6,no
CHIP,2026-04-21,104,0.05323,0.13992,0.02437,162.9,-54.2,no
OPG,2026-04-21,104,0.1904,0.486,0.089,155.3,-53.3,no
MIRA,2025-09-26,311,1.547,1.907,0.04108,23.3,-97.3,no
ZKC,2025-09-15,322,1.457,1.504,0.03714,3.2,-97.5,no
NES,2026-06-24,40,0.3365,0.3365,0.1991,0.0,-40.8,yes
BASED,2026-03-30,126,0.1273,0.32681,0.0749,156.7,-41.2,no
UB,2025-09-12,325,0.01782,0.24663,0.18157,1284.0,918.9,no
GENIUS,2026-04-13,112,0.516,0.9661,0.3332,87.2,-35.4,no
GUA,2025-11-27,249,0.1041,1.7034,0.04506,1536.3,-56.7,no
