coin,listed,bar_min,peak_at_min,day1_peak_pct,5 min,30 min,1 h,2 h,4 h,8 h,12 h,24 h,48 h,1 week,2 weeks,1 month
NEX,2026-05-20,5,1065,67.2,-16.2,-8.7,-3.9,30.6,29.1,24.9,33.9,45.0,3.2,-12.6,-26.2,-39.2
CATE,2026-07-27,5,100,90.0,-9.8,-6.0,22.3,35.9,-23.4,-29.0,-46.5,,-44.0,395.2,,
BTR,2025-08-27,5,25,7.6,-9.8,-2.9,-10.2,-17.1,-27.6,-36.3,-37.4,-30.9,-43.6,-54.1,-38.0,-22.3
SIREN,2026-03-23,5,340,19.1,-3.1,-4.6,-1.7,-6.7,4.0,14.9,-10.9,-62.5,-32.0,-35.0,-76.9,-73.5
GRVT,2026-07-30,5,0,0.0,-15.8,-17.7,-38.2,-25.0,-47.1,-44.9,-43.6,-39.1,-37.0,,,
TRIA,2026-02-03,5,1400,50.0,-6.6,-5.3,-7.4,-14.5,9.4,-13.9,2.9,31.5,27.3,-12.0,-8.4,0.8
CASHCAT,2026-07-08,5,65,36.4,-18.0,-11.0,22.6,3.2,6.6,-1.2,-16.7,-12.7,36.7,12.6,-50.0,
Q,2025-09-02,5,1275,53.5,-1.2,26.0,27.5,22.8,25.4,4.1,3.5,16.3,4.1,88.8,258.9,276.6
TRUTH,2025-10-01,5,955,32.5,9.0,-4.3,3.0,-20.9,-6.6,-14.1,-8.6,-17.6,-6.0,-11.3,-29.1,-18.3
HOODRAT,2026-07-11,5,515,243.3,-2.4,-15.9,-11.0,-16.7,-11.5,13.4,-17.9,,6.3,-75.3,-92.0,
O,2026-06-17,5,340,108.8,9.4,32.3,43.4,76.2,65.8,74.4,56.7,60.3,104.7,84.3,46.2,59.4
CAP,2026-06-26,5,250,92.0,5.8,5.9,13.2,29.0,51.3,32.1,18.5,34.4,12.1,-10.5,-16.6,-7.6
MAGMA,2025-12-16,5,0,0.0,-11.4,-16.8,-16.1,-11.5,-27.1,-22.2,-27.8,-34.4,-29.3,-21.5,-26.9,-30.2
ARIA,2025-08-21,5,25,18.4,11.9,9.5,-2.1,-9.6,-10.1,-25.5,-11.4,-36.0,-26.9,10.5,45.1,134.1
UAI,2025-11-06,5,200,73.9,-6.6,19.8,-3.1,11.8,29.3,-15.4,-82.6,-32.4,19.8,23.6,35.7,-12.6
WLFI,2025-09-01,5,80,5.8,-5.4,2.2,-2.0,-11.9,-21.6,-29.3,-22.8,-21.4,-27.0,-31.1,-29.1,-34.2
STABLE,2025-12-08,5,0,0.0,-12.5,-19.6,-31.0,-33.5,-19.4,-25.2,-25.0,-40.0,-22.3,-47.6,-62.6,-45.9
ELIZAOS,2025-11-07,5,10,52.4,22.2,9.9,31.2,37.8,24.6,5.7,7.2,13.6,-1.6,-1.5,-11.7,-31.5
SN3,2026-03-11,5,65,28.6,-4.9,8.4,19.4,2.8,-24.8,-48.4,-53.4,-66.2,-83.5,-92.1,-94.9,-97.0
MITO,2025-08-28,5,1195,112.8,-30.9,-39.8,-35.0,-34.9,-10.4,35.5,35.1,84.3,34.0,12.5,31.2,4.9
US,2025-12-11,5,1305,19.1,-14.4,-20.6,-19.3,-29.4,-24.0,-13.3,-4.4,-2.9,-26.2,-46.9,-48.8,-64.1
SAPIEN,2025-08-20,5,355,26.5,-4.6,-24.6,-28.7,-16.7,-2.0,16.9,11.9,-8.9,16.0,-25.2,-21.8,20.3
SENT,2026-01-22,5,630,50.1,-4.5,20.7,7.7,-0.0,10.3,34.4,34.3,16.2,23.3,40.5,40.6,1.8
SLX,2026-05-25,5,20,12.8,2.6,2.3,1.3,-14.6,-3.0,-1.6,-19.1,-12.4,2.5,42.9,-17.1,28.6
WET,2025-12-09,5,1315,134.1,3.9,5.2,5.0,-3.7,0.7,20.5,30.4,103.2,38.8,39.5,61.1,19.2
INX,2026-01-30,5,170,3.3,-14.3,-13.6,-4.2,-7.8,-5.1,-21.1,-23.1,-37.1,-32.5,-47.5,-38.1,-50.6
AT,2025-10-24,5,5,0.8,-11.2,-37.9,-42.3,-45.5,-50.9,-48.6,-51.3,-55.5,-51.3,-58.9,-59.0,-62.5
YB,2025-10-15,5,0,0.0,-9.5,-12.7,-20.6,-27.9,-27.6,-24.0,-23.9,-36.7,-48.2,-60.1,-34.0,-55.3
CLO,2025-10-14,5,1065,404.0,-4.8,0.5,0.3,20.3,133.3,144.5,204.4,280.7,148.4,100.2,76.1,26.5
SKY,2025-09-15,5,240,0.0,-0.6,-1.1,-1.9,-1.4,-0.5,-2.0,-3.2,-3.3,-1.4,-13.1,-9.7,-16.3
ACU,2026-01-20,5,55,7.5,-2.7,-11.8,-0.5,-21.2,-19.8,-38.5,-27.5,-39.6,-6.4,57.9,14.4,-25.1
ESP,2026-02-12,5,215,9.8,-0.0,-4.9,-9.3,1.8,1.2,-6.5,-9.0,-26.0,-22.1,-3.3,87.2,26.6
NIGHT,2025-12-09,5,1430,37.6,-14.5,-25.5,-14.5,-16.7,-6.0,-2.4,7.6,31.9,8.0,33.4,84.1,81.2
MARSCOIN,2026-07-30,5,930,43.6,-3.6,-10.7,-7.2,11.0,-2.8,-4.1,10.4,,28.5,,,
BP,2026-03-23,5,100,2.6,0.1,-9.5,-8.3,-3.9,-15.9,-17.7,-15.1,-23.1,-26.1,-39.1,-43.1,-45.3
BULL,2026-04-13,5,10,0.3,-2.7,-18.2,-14.3,-20.3,-14.2,-19.8,-21.1,-28.1,-33.8,-58.1,-59.5,-43.9
CHIP,2026-04-21,5,1440,102.8,-9.1,0.5,-14.7,10.3,6.8,9.6,5.8,99.7,88.0,31.1,8.1,-8.7
OPG,2026-04-21,5,815,155.3,3.1,-5.6,4.4,24.4,24.2,33.4,107.3,101.4,95.8,47.9,43.4,25.4
MIRA,2025-09-26,5,70,23.3,9.0,0.6,5.4,1.9,-9.7,-10.5,-6.2,-12.2,-31.7,-60.2,-71.6,-78.4
ZKC,2025-09-15,5,5,3.2,-4.2,-16.2,-17.8,-36.4,-37.5,-35.4,-36.7,-45.0,-49.6,-52.9,-64.5,-87.2
NES,2026-06-24,5,0,0.0,-16.7,-22.7,-22.3,-5.4,-9.1,-21.0,-18.8,-21.7,-46.0,-44.1,-13.0,-24.6
BASED,2026-03-30,5,100,33.5,1.1,18.3,0.3,-13.8,-6.4,-10.9,-5.5,-7.4,-29.7,-50.4,-49.4,-0.4
UB,2025-09-12,5,545,75.3,3.1,-13.0,-5.7,-8.3,15.9,57.4,39.4,58.0,174.6,76.4,68.9,87.9
GENIUS,2026-04-13,5,425,15.4,-7.8,-8.0,-9.9,-0.2,-12.6,2.7,-1.8,,45.1,7.7,8.5,-6.8
GUA,2025-11-27,5,985,43.8,-8.0,-11.6,-7.6,-6.9,15.4,19.5,21.5,20.7,19.8,-10.7,0.7,14.5
BLESS,2025-09-23,5,1030,129.0,-16.5,18.2,4.8,4.3,16.7,93.8,58.4,45.6,-9.8,-46.2,16.0,-27.8
BTX,2025-12-11,5,180,8.0,-3.1,-17.0,-13.0,-15.4,-12.7,-16.3,-6.9,-32.4,-50.3,-74.1,-76.4,-77.6
KITE,2025-11-03,5,20,1.0,-13.0,-14.6,-22.0,-19.2,-22.1,-26.6,-29.0,-34.0,-13.2,-15.1,-18.7,-1.4
NOM,2025-10-01,5,85,15.6,-0.9,1.8,-4.6,-17.0,-11.7,-11.8,-13.8,-18.1,-24.2,-36.3,-58.3,-62.4
GAIN,2025-09-24,5,10,11.0,0.8,-4.8,-5.3,-12.5,-6.3,-24.8,-89.8,,,,,
HANA,2025-09-26,5,20,16.6,1.7,-34.5,-60.9,-71.4,-74.4,-72.9,-71.5,-70.9,-69.9,-79.9,-68.7,-72.3
OWL,2026-01-15,5,1415,90.8,-18.6,-12.8,-6.3,-24.1,-12.0,-2.5,7.7,82.9,59.8,25.0,-3.0,-80.2
COAI,2025-09-25,5,5,2.4,-3.0,-11.2,-37.7,-45.6,-51.9,-58.8,-54.7,-66.4,-69.5,-24.9,868.4,1435.8
BARD,2025-09-18,5,115,17.4,9.2,-2.0,6.7,8.8,-3.6,-0.3,-1.2,-12.2,-6.8,-1.1,-16.7,-40.8
THQ,2025-12-16,5,15,12.8,-8.4,0.8,-36.7,-37.4,-32.6,-31.4,-40.5,-51.2,-70.6,-53.9,-71.1,-71.4
ROLL,2026-01-16,5,205,13.2,1.0,-2.5,-0.5,1.0,-4.7,2.6,-4.6,5.0,36.2,54.7,38.6,10.0
CTR,2026-05-26,5,5,28.5,-8.4,-24.1,-31.4,-26.2,-47.1,-41.6,-46.8,-42.8,-53.1,-50.6,-56.2,-71.9
SPACE,2026-01-23,5,10,5.8,-7.1,-17.1,-24.6,-20.9,-31.9,-22.2,-21.5,-24.1,-18.6,-62.3,-77.3,-51.0
STONKBROKER,2026-07-20,5,105,35.6,5.1,23.7,14.3,13.7,15.0,2.5,-12.1,-17.0,-25.0,45.1,272.6,
HEMI,2025-08-29,5,25,50.5,17.2,26.2,3.0,5.6,18.2,25.1,-0.6,-5.8,16.8,57.1,86.5,398.0
VEXAI,2026-07-11,5,15,15.9,5.0,4.7,-1.5,-3.9,-14.4,-22.0,-39.6,,-61.8,-59.0,-63.6,
FOLKS,2025-11-06,5,180,164.4,2.6,15.0,37.2,37.2,47.5,42.2,31.4,35.2,147.2,98.8,125.0,248.3
IN,2025-08-07,5,540,9.9,-2.0,-3.2,-1.4,-0.5,2.8,0.8,-1.2,,14.8,14.1,-13.7,-37.8
AIINU,2026-07-23,5,315,35.1,-5.1,-11.1,-9.1,-13.3,-1.9,-11.3,-27.0,,-40.5,-53.6,,
LINEA,2025-09-10,5,50,19.0,-4.5,-4.3,2.8,12.0,-7.2,-16.4,-11.6,-15.9,-18.3,-9.7,7.9,-14.7
BRIAN,2026-07-17,5,85,27.8,0.3,3.0,10.0,5.4,-13.0,-26.2,-50.8,-89.7,-84.7,-94.3,-95.4,
PONS,2026-07-15,5,75,53.8,-6.2,28.3,33.4,15.3,4.9,-24.5,-16.9,-30.9,-57.9,206.0,225.4,
XAN,2025-09-29,5,0,0.0,-52.2,-48.9,-47.1,-47.4,-19.2,-21.7,-19.0,-48.2,-56.5,-61.3,-86.2,-86.7
BIRB,2026-01-28,5,480,130.5,-12.9,-16.3,12.2,13.2,34.7,110.3,67.9,39.2,8.9,32.3,5.7,-24.0
BR,2026-05-11,5,120,4.5,-0.4,-0.2,0.1,3.2,-0.8,-3.2,-4.2,-3.4,0.8,-13.0,-15.5,-26.8
BTW,2026-03-02,5,15,19.9,2.6,2.9,0.1,2.3,-2.9,3.0,-4.3,13.8,37.8,214.5,251.2,157.4
PYBOBO,2025-11-21,5,110,389.7,4.0,34.2,108.8,244.9,168.0,221.2,226.7,219.8,225.6,200.7,244.3,290.6
ASTER,2025-09-19,5,1415,55.5,-1.5,-8.8,-4.2,1.3,-3.7,-8.3,1.0,48.7,182.8,188.0,195.4,85.8
MMT,2025-11-04,5,545,1641.5,3.8,14.4,18.3,139.2,104.8,322.5,619.0,206.2,67.7,36.9,-13.6,-29.2
BNKR,2026-02-13,5,540,18.7,-0.5,0.8,3.8,5.9,-0.9,8.1,8.9,-5.0,-20.8,-24.0,-26.9,-43.5
ASR,2026-03-29,5,30,1.3,-0.9,0.9,-0.5,-2.6,-3.8,-6.5,-6.7,-3.5,-6.0,-8.9,-8.5,-4.7
KET,2026-07-22,5,65,33.2,1.5,19.0,28.5,6.8,18.2,,,,36.6,-22.3,,
ELSA,2026-01-20,5,85,53.2,-13.2,-2.0,15.1,22.9,16.8,24.5,24.8,38.3,124.6,9.5,-16.5,-33.2
