coin,age_days,listed,entry_first5m_high,day1_peak_pct,peak_at_min,day1_trough_pct,exit_120min_pct,exit_24h_pct,exit_1week_pct,php_120min,php_1week
OFC,116.1,2026-04-09,0.0869,0.0,0,-52.9,-29.7,-47.9,-43.8,-297,-438
CTR,68.9,2026-05-26,0.03465,28.5,5,-50.9,-26.2,-42.8,-50.6,-262,-506
GRVT,4.0,2026-07-30,0.4257,0.0,0,-49.7,-25.0,-39.1,-37.4,-250,-374
ARX,42.0,2026-06-22,0.4201,9.5,930,-45.7,-23.1,-13.9,-37.4,-231,-374
BULL,112.3,2026-04-13,0.009999,0.3,10,-44.8,-20.3,-28.1,-60.6,-203,-606
HOODRAT,23.2,2026-07-11,0.01039,243.3,515,-33.0,-16.7,-12.7,-68.1,-167,-681
GROVE,26.9,2026-07-07,0.03481,0.9,5,-30.9,-15.6,-19.6,-55.4,-156,-554
PIPEDOG,5.4,2026-07-29,0.003958,38.7,575,-44.3,-15.0,-41.0,-35.8,-150,-358
SLX,69.9,2026-05-25,0.2105,12.8,20,-26.7,-14.6,-12.4,42.9,-146,429
RE,46.0,2026-06-18,0.48006,71.3,1410,-21.6,-14.1,59.3,18.4,-141,184
STAR,80.9,2026-05-14,0.25337,3.3,910,-28.5,-14.1,-26.9,-34.1,-141,-341
ASTEROID,107.9,2026-04-17,6.247e-05,18.5,75,-52.0,-13.8,-46.7,375.5,-138,3755
AIINU,11.4,2026-07-23,0.01047,35.1,315,-40.8,-13.3,-32.3,-67.2,-133,-672
JUGGERNAUT,23.4,2026-07-11,0.01653,6.9,100,-34.9,-10.7,-21.3,-82.9,-107,-829
WOOD,12.2,2026-07-22,0.02426,7.2,230,-31.7,-7.7,-27.9,-77.5,-77,-775
ST,110.1,2026-04-15,0.11137,6.9,20,-31.6,-5.5,-27.2,-41.1,-55,-411
NES,40.0,2026-06-24,0.3365,0.0,0,-33.3,-5.4,-21.7,-46.0,-54,-460
BLEND,100.9,2026-04-24,0.1414,21.9,30,-45.5,-5.0,-24.9,-14.4,-50,-144
VEXAI,23.4,2026-07-11,0.01336,15.9,15,-58.9,-3.9,-52.4,-59.9,-39,-599
MEGA,95.1,2026-04-30,0.1818,16.8,45,-20.6,-3.6,-16.5,-32.9,-36,-329
SKYAI,95.4,2026-04-30,0.31078,23.5,1420,-8.8,-3.3,20.4,153.4,-33,1534
CZ,29.3,2026-07-05,0.07214,18.8,45,-68.8,-2.5,-46.2,-90.9,-25,-909
USDUC,88.4,2026-05-07,0.0161,44.4,45,-46.3,-1.8,-33.6,-54.9,-18,-549
BILL,91.2,2026-05-04,0.03133,45.0,930,-21.9,-0.6,25.5,304.8,-6,3048
GENIUS,111.9,2026-04-13,0.516,15.4,425,-18.4,-0.2,-1.8,13.2,-2,132
GMEROBINHOOD,11.2,2026-07-23,0.0001485,9.4,135,-58.1,0.3,-30.0,-69.6,3,-696
YOM,59.1,2026-06-05,0.097,6.0,135,-37.6,1.4,1.4,-2.5,14,-25
CASHCAT,25.9,2026-07-08,0.116,36.4,65,-28.3,3.2,-12.7,12.6,32,126
BR,84.1,2026-05-11,0.14742,4.5,120,-5.9,3.2,-3.4,-13.0,32,-130
BRIAN,17.4,2026-07-17,0.01523,27.8,85,-94.1,5.4,-89.7,-94.3,54,-943
KET,12.2,2026-07-22,0.009737,33.2,65,-1.9,6.8,16.0,-29.0,68,-290
CHIP,104.0,2026-04-21,0.05323,102.8,1440,-20.0,10.3,99.7,31.9,103,319
MARSCOIN,4.1,2026-07-30,0.03254,43.6,930,-18.9,11.0,10.7,7.0,110,70
TENDIES,18.3,2026-07-16,0.01344,47.5,185,-22.1,12.1,27.8,-17.8,121,-178
STONKBROKER,14.4,2026-07-20,0.004334,35.6,105,-27.5,13.7,-17.0,40.3,137,403
PONS,19.2,2026-07-15,0.01284,53.8,75,-38.5,15.3,-30.9,189.3,153,1893
SHARE,87.1,2026-05-08,0.4727,39.6,75,-19.9,16.8,18.3,-43.9,168,-439
DRV,20.2,2026-07-14,0.1244,22.4,150,-3.1,19.1,22.1,-0.8,191,-8
ANSEM,36.3,2026-06-28,0.0567,116.6,1160,-17.3,20.4,86.2,434.7,204,4347
OPG,104.0,2026-04-21,0.1904,155.3,815,-16.4,24.4,101.4,47.9,244,479
CAP,38.0,2026-06-26,0.02407,92.0,250,-8.0,29.0,34.4,-10.2,290,-102
NEX,74.9,2026-05-20,4.126e-06,67.2,1065,-23.7,30.6,45.0,-12.6,306,-126
ASTEROIDBSC,2.3,2026-08-01,0.002081,133.4,290,-24.2,30.8,28.9,34.9,308,349
CATE,7.4,2026-07-27,0.007832,90.0,100,-57.0,35.9,-53.5,497.8,359,4978
O,46.9,2026-06-17,0.3687,108.8,340,-2.7,76.2,60.3,79.6,762,796
ZEST,75.9,2026-05-19,0.0733,132.5,820,-10.5,97.2,103.1,157.1,972,1571
INDEX,19.4,2026-07-15,0.006373,296.8,75,-1.8,214.7,138.7,161.2,2147,1612
